USDA Certificate Type	cert_num	cert_status	name	dba	cust_num	city	state
RESEARCH FACILITY	21-R-0084	ACTIVE	NATHAN S KLINE INSTITUTE FOR PSYCH RES		448	ORANGEBURG	NY
RESEARCH FACILITY	21-R-0088	ACTIVE	PFIZER GLOBAL RESEARCH & DEVELOPMENT		339	NEW YORK NEW YORK	NY
RESEARCH FACILITY	21-R-0089	ACTIVE	LAGUARDIA COMMUNITY COLLEGE		458	LONG ISLAND CITY	NY
RESEARCH FACILITY	21-R-0092	ACTIVE	NEW YORK UNIVERSITY SCHOOL OF MEDICINE		465	NEW YORK	NY
RESEARCH FACILITY	21-R-0095	ACTIVE	LAKE IMMUNOGENICS INC		503	ONTARIO	NY
RESEARCH FACILITY	21-R-0097	ACTIVE	CARY INSTITUTE OF ECOSYSTEM STUDIES INC		593	MILLBROOK	NY
RESEARCH FACILITY	21-R-0103	ACTIVE	ALBANY MEDICAL COLLEGE		330	ALBANY	NY
RESEARCH FACILITY	21-R-0105	ACTIVE	THE ROGOSIN INSTITUTE		704	NEW YORK NEW YORK	NY
RESEARCH FACILITY	21-R-0107	ACTIVE	NORTH SHORE-LONG ISLAND JEWISH HEALTH SYSTEM		342	MANHASSET	NY
RESEARCH FACILITY	21-R-0109	ACTIVE	UNIVERSITY OF ROCHESTER	SCHOOL OF MEDICINE & DENTISTRY	343	ROCHESTER	NY
RESEARCH FACILITY	21-R-0112	CANCELLED	MARY IMOGENE BASSETT HOSPITAL THE		335	COOPERSTOWN	NY
RESEARCH FACILITY	21-R-0114	ACTIVE	WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY		336	NEW YORK	NY
RESEARCH FACILITY	21-R-0118	ACTIVE	NEW YORK UNIVERSITY-WASHINGTON SQUARE		346	NEW YORK NEW YORK	NY
RESEARCH FACILITY	21-R-0119	ACTIVE	CORNELL UNIVERSITY		528	ITHACA	NY
RESEARCH FACILITY	21-R-0123	ACTIVE	N Y SOCIETY FOR THE RELIEF OF THE 	RAPTURED/CRIPPLED MAINTAINING	395	NEW YORK NEW YORK	NY
RESEARCH FACILITY	21-R-0124	ACTIVE	N Y STATE DEPT OF HEALTH/HEALTH RESEARCH		400	ALBANY	NY
RESEARCH FACILITY	21-R-0128	ACTIVE	SYRACUSE UNIVERSITY		401	SYRACUSE	NY
RESEARCH FACILITY	21-R-0132	ACTIVE	YESHIVA UNIVERSITY	ALBERT EINSTEIN COLLEGE OF MED	394	BRONX	NY
RESEARCH FACILITY	21-R-0140	ACTIVE	ROCHESTER GENERAL HOSPITAL		398	ROCHESTER	NY
RESEARCH FACILITY	21-R-0141	ACTIVE	ST. LAWRENCE UNIVERSITY		399	CANTON	NY
RESEARCH FACILITY	21-R-0148	ACTIVE	FORDHAM UNIVERSITY		8207	BRONX	NY
RESEARCH FACILITY	21-R-0170	ACTIVE	SIENA COLLEGE		403	LOUDONVILLE	NY
RESEARCH FACILITY	21-R-0173	ACTIVE	LIBERTY RESEARCH INC		6799	WAVERLY	NY
RESEARCH FACILITY	21-R-0179	ACTIVE	ORENTREICH FOUNDATION FOR THE 	ADVANCEMENT OF SCIENCE, INC.	413	COLD SPRING	NY
RESEARCH FACILITY	21-R-0180	ACTIVE	MEDAILLE COLLEGE		414	BUFFALO	NY
RESEARCH FACILITY	21-R-0185	ACTIVE	VASSAR COLLEGE		418	POUGHKEEPSIE	NY
RESEARCH FACILITY	21-R-0192	ACTIVE	BROOKHAVEN SCIENCE ASSOCIATES LLC	BROOKHAVEN NATIONAL LABORATORY	1791	UPTON	NY
RESEARCH FACILITY	21-R-0193	CANCELLED	ACORDA THERAPEUTICS INC		8971	ARDSLEY	NY
RESEARCH FACILITY	21-R-0196	ACTIVE	SUNY STATE COLLEGE OF OPTOMETRY		10866	NEW YORK NEW YORK	NY
RESEARCH FACILITY	21-R-0199	ACTIVE	ROSWELL PARK CANCER INSTITUTE		537	BUFFALO	NY
RESEARCH FACILITY	21-R-0200	ACTIVE	YORK COLLEGE OF CUNY		14058	JAMAICA	NY
RESEARCH FACILITY	21-R-0207	ACTIVE	ST BONAVENTURE UNIVERSITY		21096	SAINT BONAVENTURE	NY
RESEARCH FACILITY	21-R-0208	ACTIVE	SUNY COLLEGE AT CORTLAND		25376	CORTLAND	NY
RESEARCH FACILITY	21-R-0209	CANCELLED	MOOG MEDICAL DEVICES GROUP	STS DUOTEK	30934	RUSH	NY
RESEARCH FACILITY	21-R-0210	ACTIVE	CARDIOVASCULAR RESEARCH FOUNDATION		30958	ORANGEBURG	NY
RESEARCH FACILITY	21-R-0211	ACTIVE	ITHACA COLLEGE		33184	ITHACA	NY
RESEARCH FACILITY	21-R-0212	ACTIVE	RIVERHEAD FOUNDATION		6177	RIVERHEAD	NY
RESEARCH FACILITY	21-R-0213	CANCELLED	COLGATE UNIVERSITY		34658	HAMILTON	NY
RESEARCH FACILITY	21-R-0215	ACTIVE	ARMGO PHARMA INC		39214	TARRYTOWN	NY
RESEARCH FACILITY	21-R-0217	ACTIVE	BIG HEART PET BRANDS		42276	SHERBURNE	NY
RESEARCH FACILITY	21-R-0218	CANCELLED	GE GLOBAL RESEARCH		37529	NISKAYUNA	NY
RESEARCH FACILITY	21-R-0219	ACTIVE	ALBANY COLLEGE OF PHARMACY & HEALTH SCIENCES		321529	ALBANY	NY
RESEARCH FACILITY	21-R-0220	ACTIVE	COLLEGE OF STATEN ISLAND/CUNY		322605	STATEN ISLAND	NY
RESEARCH FACILITY	21-R-0221	ACTIVE	SUFFOLK COUNTY COMMUNITY COLLEGE		325144	BRENTWOOD	NY
RESEARCH FACILITY	21-R-0222	CANCELLED	PSYCHOGENICS INC		325205	TARRYTOWN	NY
RESEARCH FACILITY	21-R-0223	ACTIVE	NEW YORK STATE PSYCHIATRIC INSTITUTE		325904	NEW YORK	NY
RESEARCH FACILITY	21-R-0224	CANCELLED	TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY	MORNINGSIDE HTS/BARNARD CAMPUS	341	NEW YORK NEW YORK	NY
RESEARCH FACILITY	21-R-0225	ACTIVE	GENESEE COMMUNITY COLLEGE		326446	BATAVIA	NY
RESEARCH FACILITY	21-R-0226	ACTIVE	ROCKEFELLER UNIVERSITY		307	NEW YORK NEW YORK	NY
RESEARCH FACILITY	21-R-0228	ACTIVE	ALFRED STATE COLLEGE		18374	ALFRED	NY
RESEARCH FACILITY	21-R-0229	ACTIVE	PROFECTUS BIOSCIENCES		327458	TARRYTOWN	NY
RESEARCH FACILITY	21-R-0230	ACTIVE	MERCY COLLEGE	VETERINARY TECHNOLOGY PROGRAM	330136	DOBBS FERRY	NY
RESEARCH FACILITY	21-R-0231	ACTIVE	UNIVERSITY AT BINGHAMTON	STATE UNIVERSITY OF NEW YORK	290	BINGHAMTON	NY
RESEARCH FACILITY	21-R-0232	ACTIVE	MOOG MEDICAL DEVICES ROCHESTER INC		331619	RUSH	NY
RESEARCH FACILITY	21-R-0233	ACTIVE	MISPRO BIOTECH SERVICES CORPORATION		331434	NEW YORK	NY
RESEARCH FACILITY	21-R-0234	ACTIVE	COLD SPRING HARBOR LABORATORY		331860	COLD SPRING HARBOR	NY
RESEARCH FACILITY	21-R-0235	ACTIVE	S B I CAMPUS OF CAREER EDUCATION SERVICES		331036	MELVILLE	NY
RESEARCH FACILITY	21-R-0236	ACTIVE	N Y I T COLLEGE OF OSTEOPATHIC MEDICINE		329597	OLD WESTBURY	NY
RESEARCH FACILITY	21-R-0237	ACTIVE	STATE UNIVERSITY OF NEW YORK COLLEGE AT ONEONTA		331725	ONEONTA	NY
RESEARCH FACILITY	21-R-0238	ACTIVE	CANISIUS COLLEGE		304	BUFFALO	NY
RESEARCH FACILITY	21-R-0239	ACTIVE	TRUDEAU INSTITUTE INC		333278	SARANAC LAKE	NY
RESEARCH FACILITY	22-R-0009	ACTIVE	NOVARTIS PHARMACEUTICALS CORPORATION		519	EAST HANOVER	NJ
RESEARCH FACILITY	22-R-0012	ACTIVE	ETHICON INC		172	SOMERVILLE	NJ
RESEARCH FACILITY	22-R-0013	ACTIVE	WORLDWIDE MOBILE VETERINARY UNIT		163	ROCKAWAY	NJ
RESEARCH FACILITY	22-R-0020	CANCELLED	UNIVERSITY OF MEDICINE & DENTISTRY OF NEW JERSEY	NEW JERSEY MEDICAL SCHOOL	175	NEWARK	NJ
RESEARCH FACILITY	22-R-0022	ACTIVE	PRINCETON UNIVERSITY		176	PRINCETON	NJ
RESEARCH FACILITY	22-R-0025	ACTIVE	RUTGERS STATE UNIVERSITY OF N J		177	PISCATAWAY	NJ
RESEARCH FACILITY	22-R-0028	ACTIVE	BRISTOL MYERS SQUIBB COMPANY		168	PRINCETON	NJ
RESEARCH FACILITY	22-R-0031	CANCELLED	NEWARK BETH ISRAEL MEDICAL CENTER		179	NEWARK	NJ
RESEARCH FACILITY	22-R-0032	CANCELLED	HOFFMANN-LA ROCHE INC		180	NUTLEY	NJ
RESEARCH FACILITY	22-R-0036	ACTIVE	MERCK SHARP & DOHME CORP		181	WEST POINT	PA
RESEARCH FACILITY	22-R-0040	ACTIVE	HUNTINGDON LIFE SCIENCES INC		689	EAST MILLSTONE	NJ
RESEARCH FACILITY	22-R-0041	ACTIVE	BECTON DICKINSON AND CO		173	FRANKLIN LAKES	NJ
RESEARCH FACILITY	22-R-0064	ACTIVE	ORTHO CLINICAL DIAGNOSTICS INC		182	RARITAN	NJ
RESEARCH FACILITY	22-R-0066	CANCELLED	UNIVERSITY OF MEDICINE & DENTISTRY OF NJ	ROBERT W. JOHNSON MED. SCHOOL	184	PISCATAWAY	NJ
RESEARCH FACILITY	22-R-0069	ACTIVE	CONSUMER PRODUCT TESTING CO INC		185	FAIRFIELD	NJ
RESEARCH FACILITY	22-R-0076	ACTIVE	CAMDEN COUNTY COLLEGE		189	BLACKWOOD	NJ
RESEARCH FACILITY	22-R-0099	CANCELLED	UNIVERSITY OF MEDICINE & DENTISTRY	SCHOOL OF OSTEOPATHIC MEDICINE	194	STRATFORD	NJ
RESEARCH FACILITY	22-R-0116	CANCELLED	XENOBIOTIC LABORATORIES, INC.		695	PLAINSBORO	NJ
RESEARCH FACILITY	22-R-0130	ACTIVE	QUALTECH LABORATORIES, INC.		1701	OCEAN	NJ
RESEARCH FACILITY	22-R-0138	ACTIVE	JANSSEN RESEARCH AND DEVELOPMENT L L C		33183	RARITAN	NJ
RESEARCH FACILITY	22-R-0140	ACTIVE	BERGEN COMMUNITY COLLEGE	VET TECH PROGRAM	39103	PARAMUS	NJ
RESEARCH FACILITY	22-R-0141	ACTIVE	JHP PHARMACEUTICALS LLC		41952	PARSIPPANY	NJ
RESEARCH FACILITY	22-R-0142	CANCELLED	S K LIFE SCIENCE INC		44045	FAIR LAWN	NJ
RESEARCH FACILITY	22-R-0143	ACTIVE	PRODUCT SAFETY LABS		44516	DAYTON	NJ
RESEARCH FACILITY	22-R-0144	ACTIVE	INTERVET INC	MERCK ANIMAL HEALTH	321189	MADISON	NJ
RESEARCH FACILITY	22-R-0146	ACTIVE	HACKENSACK UNIVERSITY MEDICAL CENTER		11697	HACKENSACK	NJ
RESEARCH FACILITY	22-R-0147	ACTIVE	BARTONS WEST END FARMS INC		701	GREAT MEADOWS	NJ
RESEARCH FACILITY	22-R-0148	ACTIVE	INVIVOTEK		328400	HAMILTON	NJ
RESEARCH FACILITY	22-R-0149	ACTIVE	ZOETIS INC		328985	MADISON	NJ
RESEARCH FACILITY	22-R-0150	CANCELLED	PEDIATRIC CARDIOLOGY P A		329935	LONG BRANCH	NJ
RESEARCH FACILITY	22-R-0151	ACTIVE	COOPER MEDICAL SCHOOL OF ROWAN UNIVERSITY		330090	CAMDEN	NJ
RESEARCH FACILITY	22-R-0152	ACTIVE	R B H S - ROBERT WOOD JOHNSON MEDICAL SCHOOL		330315	PISCATAWAY	NJ
RESEARCH FACILITY	22-R-0153	ACTIVE	R B H S - NEW JERSEY MEDICAL SCHOOL 		330314	NEWARK	NJ
RESEARCH FACILITY	22-R-0154	ACTIVE	COOPER HEALTH SYSTEM		332800	CAMDEN	NJ
RESEARCH FACILITY	23-R-0001	ACTIVE	UNIVERSITY OF THE SCIENCES IN PHILADELPHIA	PHILADELPHIA COLLEGE OF PHARMACY	207	PHILADELPHIA	PA
RESEARCH FACILITY	23-R-0003	ACTIVE	LANKENAU INSTITUTE FOR MEDICAL RESEARCH		212	WYNNEWOOD	PA
RESEARCH FACILITY	23-R-0005	CANCELLED	PHILADELPHIA HEALTH & EDUCATION CORP	DREXEL UNIVERSITY COLLEGE OF MEDICINE	219	PHILADELPHIA	PA
RESEARCH FACILITY	23-R-0007	CANCELLED	COVANCE RESEARCH PRODUCTS INC		281	DENVER	PA
RESEARCH FACILITY	23-R-0011	ACTIVE	THOMAS JEFFERSON UNIVERSITY		285	PHILADELPHIA	PA
RESEARCH FACILITY	23-R-0012	ACTIVE	GLAXO SMITH KLINE		286	KING OF PRUSSIA	PA
RESEARCH FACILITY	23-R-0013	ACTIVE	DUQUESNE UNIVERSITY OF THE HOLY GHOST		297	PITTSBURGH	PA
RESEARCH FACILITY	23-R-0016	ACTIVE	UNIVERSITY OF PITTSBURGH		289	PITTSBURGH	PA
RESEARCH FACILITY	23-R-0017	ACTIVE	FRANKLIN & MARSHALL COLLEGE		301	LANCASTER	PA
RESEARCH FACILITY	23-R-0020	ACTIVE	SWARTHMORE COLLEGE		549	SWARTHMORE	PA
RESEARCH FACILITY	23-R-0021	ACTIVE	PENNSYLVANIA STATE UNIVERSITY		306	UNIVERSITY PARK	PA
RESEARCH FACILITY	23-R-0023	ACTIVE	UNIVERSITY OF PENNSYLVANIA		309	PHILADELPHIA	PA
RESEARCH FACILITY	23-R-0024	ACTIVE	CARNEGIE MELLON UNIVERSITY		316	PITTSBURGH	PA
RESEARCH FACILITY	23-R-0025	ACTIVE	PHILADELPHIA COLLEGE/OSTEOPATHIC MED		325	PHILADELPHIA	PA
RESEARCH FACILITY	23-R-0027	ACTIVE	TEMPLE UNIVERSITY		328	PHILADELPHIA	PA
RESEARCH FACILITY	23-R-0033	ACTIVE	CHILDRENS HOSPITAL OF PHILADELPHIA	JOSEPH STOKES JR RES INST	337	PHILADELPHIA	PA
RESEARCH FACILITY	23-R-0043	ACTIVE	MANOR  COLLEGE		472	JENKINTOWN	PA
RESEARCH FACILITY	23-R-0046	ACTIVE	BUCKNELL UNIVERSITY		347	LEWISBURG	PA
RESEARCH FACILITY	23-R-0049	ACTIVE	WESTMORELAND TESTING AND RESEARCH, INC.		502	SCOTTDALE	PA
RESEARCH FACILITY	23-R-0053	CANCELLED	AINSWORTH PET NUTRITION INC		539	MEADVILLE	PA
RESEARCH FACILITY	23-R-0055	ACTIVE	THE WISTAR INSTITUTE		340	PHILADELPHIA	PA
RESEARCH FACILITY	23-R-0058	CANCELLED	INSTITUTE FOR CANCER RESEARCH		351	PHILADELPHIA	PA
RESEARCH FACILITY	23-R-0061	ACTIVE	MILLENNIUM BIORESEARCH INC		352	SPINNERSTOWN	PA
RESEARCH FACILITY	23-R-0064	ACTIVE	LEHIGH UNIVERSITY		353	BETHLEHEM	PA
RESEARCH FACILITY	23-R-0067	ACTIVE	JOHNSON COLLEGE		759	SCRANTON	PA
RESEARCH FACILITY	23-R-0068	ACTIVE	SAINT VINCENT COLLEGE		344	LATROBE	PA
RESEARCH FACILITY	23-R-0078	ACTIVE	HARCUM COLLEGE		357	BRYN MAWR	PA
RESEARCH FACILITY	23-R-0088	ACTIVE	MONELL CHEMICAL SENSES CENTER		350	PHILADELPHIA	PA
RESEARCH FACILITY	23-R-0089	ACTIVE	COCALICO BIOLOGICALS INC		360	STEVENS	PA
RESEARCH FACILITY	23-R-0090	ACTIVE	MAGEE WOMENS RESEARCH INSTITUTE		361	PITTSBURGH	PA
RESEARCH FACILITY	23-R-0100	CANCELLED	SALUS UNIVERSITY		354	ELKINS PARK	PA
RESEARCH FACILITY	23-R-0107	ACTIVE	CALVERT LABORATORIES INC		366	SCOTT TOWNSHIP	PA
RESEARCH FACILITY	23-R-0114	ACTIVE	JACKSON IMMUNORESEARCH LABS INC		358	WEST GROVE	PA
RESEARCH FACILITY	23-R-0115	ACTIVE	U P M C HAMOT		359	ERIE	PA
RESEARCH FACILITY	23-R-0122	ACTIVE	LAMPIRE BIOLOGICAL LABORATORIES INC		369	PIPERSVILLE	PA
RESEARCH FACILITY	23-R-0124	ACTIVE	WILSON COLLEGE	WILSON COLLEGE	370	CHAMBERSBURG	PA
RESEARCH FACILITY	23-R-0126	ACTIVE	SUMMIT RIDGE BIOSYSTEMS INC	SUMMIT RIDGE FARMS	371	SUSQUEHANNA	PA
RESEARCH FACILITY	23-R-0133	ACTIVE	UNIVERSITY OF SCRANTON		374	SCRANTON	PA
RESEARCH FACILITY	23-R-0134	ACTIVE	ROCKLAND INC		375	ROYERSFORD	PA
RESEARCH FACILITY	23-R-0135	ACTIVE	DELAWARE VALLEY COLLEGE OF SCI AGR		376	DOYLESTOWN	PA
RESEARCH FACILITY	23-R-0141	ACTIVE	POCONO RABBIT FARM & LAB INC		373	CANADENSIS	PA
RESEARCH FACILITY	23-R-0143	ACTIVE	WEST CHESTER UNIVERSITY		380	WEST CHESTER	PA
RESEARCH FACILITY	23-R-0153	ACTIVE	LEHIGH CARBON COMMUNITY COLLEGE		1773	SCHNECKSVILLE	PA
RESEARCH FACILITY	23-R-0154	ACTIVE	ALLEGHENY-SINGER RESEARCH INSTITUTE		9012	PITTSBURGH	PA
RESEARCH FACILITY	23-R-0155	ACTIVE	KING'S COLLEGE		9776	WILKES BARRE	PA
RESEARCH FACILITY	23-R-0156	ACTIVE	GEISINGER CLINIC, WEIS CENTER FOR RESEARCH		11015	DANVILLE	PA
RESEARCH FACILITY	23-R-0160	ACTIVE	ALBERT EINSTEIN HEALTHCARE NETWORK		31081	PHILADELPHIA	PA
RESEARCH FACILITY	23-R-0161	CANCELLED	THE PENN STATE UNIVERSITY COLLEGE OF MEDICINE	THE MILTON S HERSHEY MEDICAL CENTER	32310	HERSHEY	PA
RESEARCH FACILITY	23-R-0162	ACTIVE	SLIPPERY ROCK UNIVERSITY		31006	SLIPPERY ROCK	PA
RESEARCH FACILITY	23-R-0166	ACTIVE	WILKES UNIVERSITY		1688	WILKES BARRE	PA
RESEARCH FACILITY	23-R-0170	ACTIVE	EAST STROUDSBURG UNIVERSITY OF PENNSYLVANIA		323427	EAST STROUDSBURG	PA
RESEARCH FACILITY	23-R-0172	CANCELLED	INNO SCIENTIFIC TECHNOLOGIES LLC 		323140	COLLEGEVILLE	PA
RESEARCH FACILITY	23-R-0173	ACTIVE	INDIANA UNIVERSITY OF PENNSYLVANIA		688	INDIANA	PA
RESEARCH FACILITY	23-R-0174	CANCELLED	PITTSBURGH CAREER INSTITUTE		19391	PITTSBURGH	PA
RESEARCH FACILITY	23-R-0175	ACTIVE	MELIOR DISCOVERY INC		324023	EXTON	PA
RESEARCH FACILITY	23-R-0176	ACTIVE	Y T I CAREER INSTITUTE		329187	YORK	PA
RESEARCH FACILITY	23-R-0177	ACTIVE	VASCULAR STRATEGIES L L C		331582	PLYMOUTH MEETING	PA
RESEARCH FACILITY	23-R-0178	ACTIVE	AINSWORTH PET NUTRITION L L C		331858	MEADVILLE	PA
RESEARCH FACILITY	23-R-0179	ACTIVE	ST JOSEPHS UNIVERSITY		330557	PHILADELPHIA	PA
RESEARCH FACILITY	23-R-0180	ACTIVE	DREXEL UNIVERSITY		332218	PHILADELPHIA	PA
RESEARCH FACILITY	23-R-0181	ACTIVE	PITTSBURGH CAREER INSTITUTE		332427	PITTSBURGH	PA
RESEARCH FACILITY	23-R-0182	ACTIVE	INSTITUTE FOR CANCER RESEARCH		332900	PHILADELPHIA	PA
RESEARCH FACILITY	31-R-0006	ACTIVE	UNIVERSITY OF TOLEDO		208	TOLEDO	OH
RESEARCH FACILITY	31-R-0011	ACTIVE	CINCINNATI CHILDRENS HOSPITAL MEDICAL CENTER		210	CINCINNATI	OH
RESEARCH FACILITY	31-R-0014	ACTIVE	THE OHIO STATE UNIVERSITY 		216	COLUMBUS	OH
RESEARCH FACILITY	31-R-0017	ACTIVE	CLEVELAND CLINIC FOUNDATION	RESEARCH INSTITUTE	223	CLEVELAND	OH
RESEARCH FACILITY	31-R-0018	ACTIVE	THE IAMS COMPANY 	PAUL F IAMS TECHNICAL CENTER	211	LEWISBURG	OH
RESEARCH FACILITY	31-R-0021	ACTIVE	BATTELLE MEMORIAL INSTITUTE		228	COLUMBUS	OH
RESEARCH FACILITY	31-R-0027	ACTIVE	UNIVERSITY OF CINCINNATI		233	CINCINNATI	OH
RESEARCH FACILITY	31-R-0028	ACTIVE	CASE WESTERN RESERVE UNIVERSITY		234	CLEVELAND	OH
RESEARCH FACILITY	31-R-0029	ACTIVE	MIAMI UNIVERSITY  OARS		235	OXFORD	OH
RESEARCH FACILITY	31-R-0030	ACTIVE	KENT STATE UNIVERSITY		224	KENT	OH
RESEARCH FACILITY	31-R-0034	ACTIVE	ETHICON ENDO SURGERY INC		238	CINCINNATI	OH
RESEARCH FACILITY	31-R-0040	ACTIVE	OHIO NORTHERN UNIVERSITY		8740	ADA	OH
RESEARCH FACILITY	31-R-0049	ACTIVE	OHIO WESLEYAN UNIVERSITY		241	DELAWARE	OH
RESEARCH FACILITY	31-R-0054	ACTIVE	COLLEGE OF WOOSTER, THE		242	WOOSTER	OH
RESEARCH FACILITY	31-R-0055	ACTIVE	WRIGHT STATE UNIVERSITY		243	DAYTON	OH
RESEARCH FACILITY	31-R-0058	CANCELLED	CLEVELAND STATE UNIVERSITY		244	CLEVELAND	OH
RESEARCH FACILITY	31-R-0061	ACTIVE	MERCY ST. VINCENT MEDICAL CENTER		525	TOLEDO	OH
RESEARCH FACILITY	31-R-0067	ACTIVE	CUYAHOGA COMMUNITY COLLEGE		248	PARMA	OH
RESEARCH FACILITY	31-R-0068	ACTIVE	NORTH AMERICAN SCIENCE ASSOCIATES INC	NAMSA INC	249	NORTHWOOD	OH
RESEARCH FACILITY	31-R-0082	ACTIVE	OHIO UNIVERSITY		251	ATHENS	OH
RESEARCH FACILITY	31-R-0088	ACTIVE	COLUMBUS STATE COMMUNITY COLLEGE		252	COLUMBUS	OH
RESEARCH FACILITY	31-R-0091	ACTIVE	RICERCA BIOSCIENCES  L L C		254	CONCORD TWP	OH
RESEARCH FACILITY	31-R-0092	ACTIVE	NORTHEAST OHIO MEDICAL UNIVERSITY		255	ROOTSTOWN	OH
RESEARCH FACILITY	31-R-0097	ACTIVE	MERIDIAN BIOSCIENCE INC		256	CINCINNATI	OH
RESEARCH FACILITY	31-R-0100	ACTIVE	CENTER FOR CONS & RESEARCH OF ENDANGERED WILDLIFE	CINCINNATI ZOO & BOTANICAL GARDEN	247	CINCINNATI	OH
RESEARCH FACILITY	31-R-0112	ACTIVE	OBERLIN COLLEGE		1803	OBERLIN	OH
RESEARCH FACILITY	31-R-0113	ACTIVE	AHED OF OHIO, INC	STAUTZENBERGER COLLEGE	10115	MAUMEE	OH
RESEARCH FACILITY	31-R-0114	ACTIVE	Q TEST LTD		9423	COLUMBUS	OH
RESEARCH FACILITY	31-R-0116	ACTIVE	RESEARCH INSTITUTE AT NATIONWIDE CHILDRENS HOSPITA		18920	COLUMBUS	OH
RESEARCH FACILITY	31-R-0117	ACTIVE	WIL RESEARCH LABORATORIES LLC		28786	ASHLAND	OH
RESEARCH FACILITY	31-R-0119	ACTIVE	NORTH COAST MEDICAL TRAINING		30982	KENT	OH
RESEARCH FACILITY	31-R-0120	ACTIVE	CAPITAL UNIVERSITY		9348	COLUMBUS	OH
RESEARCH FACILITY	31-R-0121	ACTIVE	UNIVERSITY OF AKRON	DEPARTMENT OF BIOLOGY	36534	AKRON	OH
RESEARCH FACILITY	31-R-0122	ACTIVE	STAUTZENBERGER COLLEGE VET TECH PROG		37219	BRECKSVILLE	OH
RESEARCH FACILITY	31-R-0123	ACTIVE	YOUNGSTOWN STATE UNIVERSITY		236	YOUNGSTOWN	OH
RESEARCH FACILITY	31-R-0124	ACTIVE	CIMCOOL INDUSTRIAL PRODUCTS LLC		323220	CINCINNATI	OH
RESEARCH FACILITY	31-R-0125	ACTIVE	BROWN MACKIE COLLEGE-FINDLAY		321681	FINDLAY	OH
RESEARCH FACILITY	31-R-0126	ACTIVE	BROWN MACKIE COLLEGE AKRON		323928	AKRON	OH
RESEARCH FACILITY	31-R-0127	ACTIVE	BROWN MACKIE COLLEGE-NORTH CANTON		323333	CANTON	OH
RESEARCH FACILITY	31-R-0128	ACTIVE	SUMMA AKRON CITY AND ST THOMAS HOSPITALS 	SUMMA AKRON CITY HOSPITAL	325659	AKRON	OH
RESEARCH FACILITY	31-R-0129	ACTIVE	MIAMI JACOBS CAREER COLLEGE		325846	TROY	OH
RESEARCH FACILITY	31-R-0130	ACTIVE	GOOD SAMARITAN HOSPITAL		230	CINCINNATI	OH
RESEARCH FACILITY	31-R-0131	ACTIVE	SINCLAIR COMMUNITY COLLEGE		331326	DAYTON	OH
RESEARCH FACILITY	32-R-0002	ACTIVE	INDIANA UNIVERSITY AT BLOOMINGTON		799	BLOOMINGTON	IN
RESEARCH FACILITY	32-R-0003	ACTIVE	ELI LILLY AND COMPANY		770	INDIANAPOLIS	IN
RESEARCH FACILITY	32-R-0007	ACTIVE	PURDUE UNIVERSITY	LABORATORY ANIMAL PROGRAM	779	WEST LAFAYETTE	IN
RESEARCH FACILITY	32-R-0009	ACTIVE	METHODIST RESEARCH INSTITUTE INDIANA UNIV HEALTH		782	INDIANAPOLIS	IN
RESEARCH FACILITY	32-R-0010	CANCELLED	BUTLER UNIVERSITY		781	INDIANAPOLIS	IN
RESEARCH FACILITY	32-R-0011	ACTIVE	BALL STATE UNIVERSITY		780	MUNCIE	IN
RESEARCH FACILITY	32-R-0012	ACTIVE	INDIANA UNIVERSITY KOKOMO		790	KOKOMO	IN
RESEARCH FACILITY	32-R-0015	ACTIVE	INDIANA UNIV -PURDUE UNIV-INDIANAPOLIS		788	INDIANAPOLIS	IN
RESEARCH FACILITY	32-R-0016	ACTIVE	UNIVERSITY OF NOTRE DAME		776	NOTRE DAME	IN
RESEARCH FACILITY	32-R-0018	ACTIVE	INDIANA UNIVERSITY SCHOOL OF DENTISTRY		789	INDIANAPOLIS	IN
RESEARCH FACILITY	32-R-0019	ACTIVE	INDIANA STATE UNIVERSITY		778	TERRE HAUTE	IN
RESEARCH FACILITY	32-R-0020	ACTIVE	BIOANALYTICAL SYSTEMS INC		784	MOUNT VERNON	IN
RESEARCH FACILITY	32-R-0025	ACTIVE	INDIANA UNIVERSITY SCHOOL OF MEDICINE		798	INDIANAPOLIS	IN
RESEARCH FACILITY	32-R-0027	ACTIVE	INDIANA UNIVERSITY-SOUTHEAST		803	NEW ALBANY	IN
RESEARCH FACILITY	32-R-0035	ACTIVE	HARLAN LABORATORIES INC		765	INDIANAPOLIS	IN
RESEARCH FACILITY	32-R-0038	CANCELLED	PROFESSIONAL VETERINARY RESEARCH INC	THE VETERINARIANS BLOOD BANK INC	1694	VALLONIA	IN
RESEARCH FACILITY	32-R-0039	CANCELLED	ROSE-HULMAN INSTITUTE OF TECHNOLOGY		12271	TERRE HAUTE	IN
RESEARCH FACILITY	32-R-0041	ACTIVE	NORTHWEST CENTER FOR MEDICAL EDUCATION		17782	GARY	IN
RESEARCH FACILITY	32-R-0046	ACTIVE	HARRISON COLLEGE		40812	INDIANAPOLIS	IN
RESEARCH FACILITY	32-R-0047	ACTIVE	BROWN MACKIE COLLEGE MICHIGAN CITY		44846	MICHIGAN CITY	IN
RESEARCH FACILITY	32-R-0048	CANCELLED	INDIANA UNIVERSITY EAST		45003	RICHMOND	IN
